var_shortn,var_longn_eng,SHIP-START-4 Code Parts ,LOINC,LOINC code parts,Relation,Cardinality,,,,,,,,,,,,,,,,,,,
leuco_u,LAB: (urine) leukocytes (Zellen/µl),"C: Leukocytes
P: Zellen/µl
T: Pt
S: Urine
Sc: Qn
M:",30405-5,"C: Leukocytes
P: NCnc
T: Pt
S: Urine
Sc: Qn
M:",=,3,,,,,,,,,,3,,,,,,,,,
,,,20408-1,"C: Leukocytes
P: NCnc
T: Pt
S: Urine
S: Qn
M: Test strip ",=,,,,,,,,,,,,,,,,,,,,
,,,58805-3,"C: Leukocytes
P: NCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip.automated ",=,,,,,,,,,,,,,,,,,,,,
nitri_u,LAB: (urine) nitrite (pos/neg),"C: Nitrite
P: pos/neg
T: Pt
S: Urine
Sc: Ord
M:",32710-6,"C: Nitrite
P: PrThr
T: Pt
S: Urine
Sc: Ord
M:",=,3,,,,,,,,,,3,,,,,,,,,
,,,5802-4,"C: Nitrite
P: PrThr
T: Pt
S: Urine
Sc: Ord
M: Test strip ",=,,,,,,,,,,,,,,,,,,,,
,,,50558-6,"C: Nitrite
P. PrThr
T: Pt
S:  Urine
Sc: Ord
M: Test strip.automated ",=,,,,,,,,,,,,,,,,,,,,
prot_u,LAB: (urine) protein (g/l),"C: Protein
P: g/l
T:  Pt
S: Urine
Sc: Qn
M:",2888-6,"C: Protein
P: MCnc
T:  Pt
S: Urine
Sc: Qn
M:",=,3,,,,,,,,,,3,,,,,,,,,
,,,5804-0,"C. Protein
P: MCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip ",=,,,,,,,,,,,,,,,,,,,,
,,,50561-0,"C: Protein
P: MCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip.automated ",=,,,,,,,,,,,,,,,,,,,,
gluc_u,LAB: (urine) glucose (mmol/l),"C: Glucose
P: mmol/l
T: Pt
S: Urine
Sc: Qn
M:",15076-3 ,"C: Glucose
P: SCnc
T: Pt
S: Urine
Sc: Qn
M:",=,3,,,,,,,,,,3,,,,,,,,,
,,,22705-8,"C: Glucose
P: SCnc
T: Pt
S:Urine
Sc: Qn
M: Test strip ",=,,,,,,,,,,,,,,,,,,,,
,,,59156-0,"C: Glucose
P: SCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip.automated ",=,,,,,,,,,,,,,,,,,,,,
